howdy_level,unit,candidate_index,column,detected_text,suggested_answer,match_score,left,top,width,height,prompt_en,definition_zh,crop_file
2,1,1,left,~ eleven (c,eleven,0.9,337,236,238,57,Joe can eat eleven cookies.,十一,answer-01.png
2,1,2,left,— twelve (a,twelve,0.9,335,438,249,56,There are twelve apples.,十二,answer-02.png
2,1,3,left,thirteen (a,thirteen,0.9,328,640,281,57,I can see thirteen eggs.,十三,answer-03.png
2,1,4,left,fourteen (a,fourteen,0.9,322,892,307,57,Tom has fourteen oranges.,十四,answer-04.png
2,1,5,left,- fifteen (c,fifteen,0.9,337,1144,234,60,She has fifteen candles.,十五,answer-05.png
2,1,6,left,sixteen (a,sixteen,0.9,332,1399,263,57,There are sixteen pens.,十六,answer-06.png
2,1,7,left,seventeen (ad,seventeen,0.9,309,1656,374,52,Mary has seventeen books.,十七,answer-07.png
2,1,8,left,_ eighteen (at,eighteen,0.9,321,1902,311,73,I can see eighteen balloons.,十八,answer-08.png
2,1,9,left,nineteen (a,nineteen,0.9,322,2157,311,57,There are nineteen cars.,十九,answer-09.png
2,1,13,right,__ twenty-three (adj.,twenty,0.9,1156,688,477,74,Tim has twenty crayons.,二十,answer-13.png
